zone,date,description,score_key,value
la-msa,2021-02-21,pop_hispanic,C000_P_c45_AM_autoY_fareN,0.046931162
la-msa,2021-07-11,pop_hispanic,C000_P_c45_AM_autoY_fareN,0.053788636
la-msa,2021-09-12,pop_hispanic,C000_P_c45_AM_autoY_fareN,0.056321006
la-msa,2020-02-23,pop_poverty,C000_P_c45_AM_autoY_fareN,0.058589716
la-msa,2020-03-15,pop_poverty,C000_P_c45_AM_autoY_fareN,0.05820021
la-msa,2020-04-19,pop_poverty,C000_P_c45_AM_autoY_fareN,0.055835675
la-msa,2020-05-10,pop_poverty,C000_P_c45_AM_autoY_fareN,0.056269657
la-msa,2020-06-21,pop_poverty,C000_P_c45_AM_autoY_fareN,0.052651726
la-msa,2020-07-19,pop_poverty,C000_P_c45_AM_autoY_fareN,0.05068989
la-msa,2020-08-16,pop_poverty,C000_P_c45_AM_autoY_fareN,0.055488642
la-msa,2020-09-20,pop_poverty,C000_P_c45_AM_autoY_fareN,0.054603
la-msa,2020-10-18,pop_poverty,C000_P_c45_AM_autoY_fareN,0.05841795
la-msa,2020-11-15,pop_poverty,C000_P_c45_AM_autoY_fareN,0.058334284
la-msa,2020-12-20,pop_poverty,C000_P_c45_AM_autoY_fareN,0.05796645
la-msa,2021-01-17,pop_poverty,C000_P_c45_AM_autoY_fareN,0.059067916
la-msa,2021-02-21,pop_poverty,C000_P_c45_AM_autoY_fareN,0.05426054
la-msa,2021-07-11,pop_poverty,C000_P_c45_AM_autoY_fareN,0.062799744
la-msa,2021-09-12,pop_poverty,C000_P_c45_AM_autoY_fareN,0.065564856
la-msa,2020-02-23,pop_total,C000_P_c45_AM_autoY_fareN,0.04648313
la-msa,2020-03-15,pop_total,C000_P_c45_AM_autoY_fareN,0.046211123
la-msa,2020-04-19,pop_total,C000_P_c45_AM_autoY_fareN,0.043606956
la-msa,2020-05-10,pop_total,C000_P_c45_AM_autoY_fareN,0.043814104
la-msa,2020-06-21,pop_total,C000_P_c45_AM_autoY_fareN,0.040613692
la-msa,2020-07-19,pop_total,C000_P_c45_AM_autoY_fareN,0.039186604
la-msa,2020-08-16,pop_total,C000_P_c45_AM_autoY_fareN,0.04254605
